Calculated by ReFED based on data from various sources. See https://insights.refed.com/methodology for more information. Data last updated December 08 2025


year,sector,sub_sector,food_type,cause_group,cause_name,tons_surplus_due_to_cause,us_dollars_surplus_due_to_cause,tons_inedible_parts,tons_not_fit_for_human_consumption
2024,Foodservice,Bars And Taverns,Frozen,Mistakes & Malfunctions,Handling Errors,0.6580556315292059,2022.7880780373205,0.007333148337425498,0.6580556315292059
2024,Foodservice,Bars And Taverns,Frozen,Other,Other,0.13871484712582652,426.39364450214026,0.0015457911183179576,0.13871484712582652
2024,Foodservice,Bars And Taverns,Frozen,Spoiled,Spoiled,0.715941894216036,2200.7238579849154,0.007978213177909142,0.715941894216036
2024,Foodservice,Bars And Taverns,Frozen,Trimmings & Byproducts,Trimmings & Byproducts,0.1769520500461082,543.9304521803913,0.1769520500461082,0.1769520500461082
2024,Foodservice,Bars And Taverns,Prepared Foods,Date Label Concerns,Date Label Concerns,0.0,0.0,0.0,0.0
2024,Foodservice,Bars And Taverns,Prepared Foods,Excess,Catering Overproduction,4061.7504973403397,51206719.14093421,158.78581187153338,0.0
2024,Foodservice,Bars And Taverns,Prepared Foods,Excess,Overproduction,3918.6073525623533,49402105.387234636,153.1899239723874,0.0
2024,Foodservice,Bars And Taverns,Prepared Foods,Excess,Plate Waste,14438.42426320561,182026034.48137617,564.440607634558,0.0
2024,Foodservice,Bars And Taverns,Prepared Foods,Mistakes & Malfunctions,Cooking Issues,0.0,0.0,0.0,0.0
2024,Foodservice,Bars And Taverns,Prepared Foods,Mistakes & Malfunctions,Equipment Issues,0.0,0.0,0.0,0.0
2024,Foodservice,Bars And Taverns,Prepared Foods,Mistakes & Malfunctions,Handling Errors,0.0,0.0,0.0,0.0
2024,Foodservice,Bars And Taverns,Prepared Foods,Other,Other,0.0,0.0,0.0,0.0
2024,Foodservice,Bars And Taverns,Prepared Foods,Spoiled,Spoiled,0.0,0.0,0.0,0.0
2024,Foodservice,Bars And Taverns,Prepared Foods,Trimmings & Byproducts,Trimmings & Byproducts,0.0,0.0,0.0,0.0
2024,Foodservice,Bars And Taverns,Produce,Date Label Concerns,Date Label Concerns,131.32423252197805,520139.7708870864,28.878649422286838,0.0
2024,Foodservice,Bars And Taverns,Produce,Mistakes & Malfunctions,Cooking Issues,42.62509918531123,168826.4907284087,9.373405595626062,42.62509918531123
2024,Foodservice,Bars And Taverns,Produce,Mistakes & Malfunctions,Equipment Issues,0.7863260306331363,3114.424760469275,0.17291579272296168,0.7863260306331363
2024,Foodservice,Bars And Taverns,Produce,Mistakes & Malfunctions,Handling Errors,13.663387958031269,54116.98469924334,3.0046259032554747,13.663387958031269
2024,Foodservice,Bars And Taverns,Produce,Other,Other,5.449784370724721,21585.122102262303,1.1984262861987633,5.449784370724721
2024,Foodservice,Bars And Taverns,Produce,Spoiled,Spoiled,187.581578040345,742959.9027598684,41.249832770961525,187.581578040345
2024,Foodservice,Bars And Taverns,Produce,Trimmings & Byproducts,Trimmings & Byproducts,397.1180016884667,1572877.0117031364,397.1180016884667,397.1180016884667
2024,Foodservice,Bars And Taverns,Ready-To-Drink Beverages,Date Label Concerns,Date Label Concerns,259.4737639318465,295845.51779966056,0.0,0.0
2024,Foodservice,Bars And Taverns,Ready-To-Drink Beverages,Mistakes & Malfunctions,Cooking Issues,0.0,0.0,0.0,0.0
2024,Foodservice,Bars And Taverns,Ready-To-Drink Beverages,Mistakes & Malfunctions,Equipment Issues,0.0,0.0,0.0,0.0
2024,Foodservice,Bars And Taverns,Ready-To-Drink Beverages,Mistakes & Malfunctions,Handling Errors,3.4893419631797626,3978.4607284925637,0.0,3.4893419631797626
2024,Foodservice,Bars And Taverns,Ready-To-Drink Beverages,Other,Other,17.610795954282512,20079.390567315153,0.0,17.610795954282512
2024,Foodservice,Bars And Taverns,Ready-To-Drink Beverages,Spoiled,Spoiled,53.97429343812998,61540.14397489744,0.0,53.97429343812998
2024,Foodservice,Bars And Taverns,Ready-To-Drink Beverages,Trimmings & Byproducts,Trimmings & Byproducts,0.3214748833639682,366.53764869029374,0.3214748833639682,0.3214748833639682
2024,Foodservice,Business & Industry,Breads & Bakery,Date Label Concerns,Date Label Concerns,431.78114135372476,2017861.0259086823,0.0,0.0
2024,Foodservice,Business & Industry,Breads & Bakery,Mistakes & Malfunctions,Cooking Issues,92.24053848440529,431071.600378282,0.0,92.24053848440529
2024,Foodservice,Business & Industry,Breads & Bakery,Mistakes & Malfunctions,Equipment Issues,101.07994854766628,472381.1883856635,0.0,101.07994854766628
2024,Foodservice,Business & Industry,Breads & Bakery,Mistakes & Malfunctions,Handling Errors,58.08491006004752,271450.6609439021,0.0,58.08491006004752
2024,Foodservice,Business & Industry,Breads & Bakery,Other,Other,33.28648140976935,155559.11801942813,0.0,33.28648140976935
2024,Foodservice,Business & Industry,Breads & Bakery,Spoiled,Spoiled,268.84381485290385,1256399.1432035815,0.0,268.84381485290385
2024,Foodservice,Business & Industry,Breads & Bakery,Trimmings & Byproducts,Trimmings & Byproducts,863.9321325008915,4037450.4864620245,863.9321325008915,863.9321325008915
2024,Foodservice,Business & Industry,Dairy & Eggs,Date Label Concerns,Date Label Concerns,742.3612667308416,2971017.8951497786,6.564174650079689,0.0
2024,Foodservice,Business & Industry,Dairy & Eggs,Mistakes & Malfunctions,Cooking Issues,31.00079430072966,124068.85806007338,0.27411805707121323,31.00079430072966
2024,Foodservice,Business & Industry,Dairy & Eggs,Mistakes & Malfunctions,Equipment Issues,870.7299746819914,3484764.6995589593,7.699248173388839,870.7299746819914
2024,Foodservice,Business & Industry,Dairy & Eggs,Mistakes & Malfunctions,Handling Errors,50.56279284343607,202358.29790546728,0.4470909486990388,50.56279284343607
2024,Foodservice,Business & Industry,Dairy & Eggs,Other,Other,18.8159901237049,75303.82561400176,0.16637646779455875,18.8159901237049
2024,Foodservice,Business & Industry,Dairy & Eggs,Spoiled,Spoiled,774.1633293334619,3098293.524050977,6.845377754971818,774.1633293334619
2024,Foodservice,Business & Industry,Dairy & Eggs,Trimmings & Byproducts,Trimmings & Byproducts,275.35999643589287,1102023.3862982988,275.35999643589287,275.35999643589287
2024,Foodservice,Business & Industry,Dry Goods,Date Label Concerns,Date Label Concerns,1003.9123883861281,3662666.8425931004,0.0,0.0
2024,Foodservice,Business & Industry,Dry Goods,Mistakes & Malfunctions,Cooking Issues,340.0044619868531,1240469.8693427944,0.0,340.0044619868531
2024,Foodservice,Business & Industry,Dry Goods,Mistakes & Malfunctions,Equipment Issues,117.93221242253071,430263.0479618234,0.0,117.93221242253071
2024,Foodservice,Business & Industry,Dry Goods,Mistakes & Malfunctions,Handling Errors,290.0002317839975,1058034.7902739737,0.0,290.0002317839975
2024,Foodservice,Business & Industry,Dry Goods,Other,Other,43.442314210257315,158494.6312687809,0.0,43.442314210257315
2024,Foodservice,Business & Industry,Dry Goods,Spoiled,Spoiled,909.797500677473,3319298.7533129025,0.0,909.797500677473
2024,Foodservice,Business & Industry,Dry Goods,Trimmings & Byproducts,Trimmings & Byproducts,3370.7590318274906,12297853.36157962,3370.7590318274906,3370.7590318274906
2024,Foodservice,Business & Industry,Fresh Meat & Seafood,Date Label Concerns,Date Label Concerns,513.2106584301682,4359507.028662265,72.30210061528751,0.0
2024,Foodservice,Business & Industry,Fresh Meat & Seafood,Mistakes & Malfunctions,Cooking Issues,93.40982063307334,793476.8362792578,13.159754457413312,93.40982063307334
2024,Foodservice,Business & Industry,Fresh Meat & Seafood,Mistakes & Malfunctions,Equipment Issues,394.9010019480157,3354516.6401730077,55.634409587789825,394.9010019480157
2024,Foodservice,Business & Industry,Fresh Meat & Seafood,Mistakes & Malfunctions,Handling Errors,130.3107158856936,1106934.3016986307,18.358423264312552,130.3107158856936
2024,Foodservice,Business & Industry,Fresh Meat & Seafood,Other,Other,18.99380267804526,161344.30358333924,2.67588330393533,18.99380267804526
2024,Foodservice,Business & Industry,Fresh Meat & Seafood,Spoiled,Spoiled,971.566080767773,8253042.076080111,136.8760904945827,971.566080767773
2024,Foodservice,Business & Industry,Fresh Meat & Seafood,Trimmings & Byproducts,Trimmings & Byproducts,2602.4817047497786,22106979.068840567,2602.4817047497786,2602.4817047497786
2024,Foodservice,Business & Industry,Frozen,Date Label Concerns,Date Label Concerns,19.505409514515854,59957.407752154664,0.2173616553053497,0.0
2024,Foodservice,Business & Industry,Frozen,Mistakes & Malfunctions,Cooking Issues,32.88309985279551,101078.9045244926,0.36643809043104714,32.88309985279551
2024,Foodservice,Business & Industry,Frozen,Mistakes & Malfunctions,Equipment Issues,176.09026992230093,541281.438211344,1.96229012905334,176.09026992230093
2024,Foodservice,Business & Industry,Frozen,Mistakes & Malfunctions,Handling Errors,45.7247892426299,140552.79541613584,0.5095415131310072,45.7247892426299
2024,Foodservice,Business & Industry,Frozen,Other,Other,3.6487147896768577,11215.733781603856,0.040660037710616936,3.6487147896768577
2024,Foodservice,Business & Industry,Frozen,Spoiled,Spoiled,0.0,0.0,0.0,0.0
2024,Foodservice,Business & Industry,Frozen,Trimmings & Byproducts,Trimmings & Byproducts,1.3120856550482947,4033.201895450507,1.3120856550482947,1.3120856550482947
2024,Foodservice,Business & Industry,Prepared Foods,Date Label Concerns,Date Label Concerns,0.0,0.0,0.0,0.0
2024,Foodservice,Business & Industry,Prepared Foods,Excess,Catering Overproduction,0.0,0.0,0.0,0.0
2024,Foodservice,Business & Industry,Prepared Foods,Excess,Overproduction,34375.280819478794,385223855.49266917,1343.8311577254742,0.0
2024,Foodservice,Business & Industry,Prepared Foods,Excess,Plate Waste,172447.7282086264,1932521775.7591612,6741.490533930714,0.0
